timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,46.25265,200,,,
400,2,26.439841,200,,,
600,3,17.531645,200,,,
792,4,2.886581,192,,,
992,5,-9.7612,200,,,
1192,6,42.404458,200,0.8261313438415527,,
1392,7,78.821577,200,0.4834727346897125,,
1592,8,109.55617,200,0.9863846302032471,,
1792,9,49.861082,200,0.870093822479248,,
1992,10,38.218824,200,1.1374750137329102,,
2192,11,98.063839,200,1.9186967611312866,,
2392,12,181.696776,200,1.2689337730407715,,
2592,13,123.942637,200,0.8591513633728027,,
2792,14,159.3534,200,1.5250416994094849,,
2992,15,93.186281,200,0.9730713963508606,,
3192,16,191.074727,200,1.1518223285675049,,
3392,17,146.082451,200,0.930721640586853,,
3592,18,94.207592,200,1.1706839799880981,,
3792,19,220.841549,200,1.387500286102295,,
3992,20,338.403348,200,0.8108634948730469,,
4192,21,220.768906,200,1.929255723953247,,
4392,22,133.588158,200,1.2759395837783813,,
4592,23,445.739539,200,0.943084180355072,,
4792,24,380.86635,200,1.1619453430175781,,
4992,25,451.816776,200,1.4047017097473145,,
5192,26,165.182448,200,1.0446887016296387,,
5392,27,417.893156,200,0.9840588569641113,,
5592,28,356.456585,200,0.9313887357711792,,
5792,29,252.764686,200,1.329021692276001,,
5992,30,340.351721,200,0.965996503829956,,
6192,31,260.165626,200,1.3959723711013794,,
6346,32,313.157008,154,2.1922550201416016,,
6546,33,383.235197,200,1.1789114475250244,,
6746,34,546.197894,200,1.943183422088623,,
6946,35,340.403681,200,5.88035249710083,,
7146,36,483.371569,200,2.4408249855041504,,
7346,37,577.67865,200,1.0923290252685547,,
7546,38,377.112582,200,3.4094796180725098,,
7746,39,727.650918,200,2.15018367767334,,
7946,40,465.824546,200,1.9485688209533691,,
8123,41,441.043409,177,2.587900400161743,,
8323,42,556.735399,200,1.504554271697998,,
8523,43,518.437794,200,0.793994665145874,,
8723,44,531.18608,200,1.0096794366836548,,
8923,45,929.151951,200,2.100522994995117,,
9028,46,299.948835,105,2.6154675483703613,,
9228,47,603.467688,200,1.7890827655792236,,
9428,48,822.845935,200,3.2489302158355713,,
9628,49,646.756508,200,1.881468653678894,,
9828,50,647.001205,200,1.466433048248291,,
10028,51,870.18417,200,1.4936126470565796,,
10228,52,648.073238,200,4.415881156921387,,
10428,53,701.060487,200,1.2511613368988037,,
10628,54,878.51766,200,0.9719944000244141,,
10828,55,1093.910955,200,1.0695198774337769,,
11028,56,922.365214,200,1.1034361124038696,,
11228,57,791.934738,200,2.5419840812683105,,
11331,58,309.651948,103,1.2901453971862793,,
11531,59,965.074308,200,1.7819182872772217,,
11731,60,797.009614,200,1.4902708530426025,,
11931,61,831.696734,200,3.4470057487487793,,
12131,62,953.646141,200,4.044310569763184,,
12331,63,942.300119,200,1.1261823177337646,,
12531,64,1129.506955,200,3.539381980895996,,
12731,65,1037.365256,200,1.2987053394317627,,
12795,66,397.715866,64,1.5641722679138184,,
12995,67,909.268231,200,1.147771954536438,,
13195,68,950.508239,200,1.179853081703186,,
13395,69,1147.698061,200,2.0811767578125,,
13595,70,1013.889537,200,1.6903213262557983,,
13795,71,1053.103783,200,1.32170832157135,,
13995,72,1045.320913,200,6.026306629180908,,
14195,73,751.606499,200,5.673280715942383,,
14395,74,1098.960952,200,5.3036346435546875,,
14595,75,953.942681,200,9.431750297546387,,
14795,76,956.251084,200,1.9165523052215576,,
14903,77,410.544287,108,1.277308702468872,,
15103,78,1178.781629,200,1.6786606311798096,,
15303,79,1239.844959,200,1.7236038446426392,,
15503,80,1059.811602,200,2.0769362449645996,,
15571,81,251.291838,68,1.325796365737915,,
15771,82,1417.306024,200,7.491801738739014,,
15971,83,1438.093542,200,2.1279454231262207,,
16171,84,1214.845132,200,1.65950608253479,,
16371,85,1393.026905,200,1.355713963508606,,
16571,86,1144.088448,200,2.314399242401123,,
16706,87,914.042218,135,1.7815285921096802,,
16906,88,1507.175108,200,1.8218152523040771,,
17106,89,1154.544182,200,1.199106216430664,,
17306,90,1208.791011,200,9.079839706420898,,
17506,91,799.279075,200,1.596121907234192,,
17538,92,44.490124,32,1.7876845598220825,,
17738,93,1480.376695,200,1.8144049644470215,,
17938,94,1194.39178,200,15.133182525634766,,
18138,95,1229.476279,200,2.7381811141967773,,
18165,96,38.184065,27,3.4183788299560547,,
18365,97,1681.35122,200,15.11915397644043,,
18565,98,1558.237991,200,2.1664202213287354,,
18765,99,1596.282657,200,1.2946406602859497,,
18879,100,758.169479,114,1.6525745391845703,,
19079,101,1554.688721,200,2.7969138622283936,,
19279,102,1347.590218,200,1.5333454608917236,,
19479,103,1746.942147,200,2.193624973297119,,
19679,104,1376.585466,200,1.5373964309692383,,
19879,105,1486.972596,200,6.7803521156311035,,
20079,106,1576.661872,200,1.63309645652771,,
20279,107,1372.095325,200,7.480738162994385,,
20479,108,1144.073845,200,2.437072992324829,,
20679,109,1426.996586,200,1.350306510925293,,
20718,110,71.672659,39,1.6770144701004028,,
20903,111,921.208523,185,4.007456302642822,,
20932,112,29.712498,29,2.6030349731445312,,
21132,113,1218.568282,200,10.157707214355469,,
21332,114,1711.118419,200,1.651963233947754,,
21532,115,962.692625,200,6.246435165405273,,
21732,116,1158.973214,200,6.340777397155762,,
21932,117,1548.270364,200,8.126133918762207,,
22132,118,1218.988452,200,7.834089756011963,,
22332,119,1370.083383,200,9.320786476135254,,
22532,120,1267.859915,200,9.426685333251953,,
22726,121,926.866366,194,3.651364326477051,,
22907,122,1056.591558,181,1.5352294445037842,,
23107,123,1482.841137,200,3.9481847286224365,,
23307,124,1334.786201,200,1.8915448188781738,,
23507,125,1458.70645,200,1.7781476974487305,,
23707,126,1399.482926,200,2.140017509460449,,
23907,127,1109.473141,200,1.9737513065338135,,
24107,128,1319.77139,200,1.4789159297943115,,
24307,129,1155.372721,200,1.828310251235962,,
24507,130,1229.396709,200,6.767030239105225,,
24707,131,1701.038856,200,8.691336631774902,,
24907,132,1614.394147,200,5.690878868103027,,
25107,133,1258.746806,200,8.216279983520508,,
25307,134,1189.534948,200,1.719376564025879,,
25507,135,1550.146801,200,7.4425950050354,,
25707,136,1320.707456,200,5.434813499450684,,
25907,137,1264.671265,200,1.962933897972107,,
26107,138,1376.778167,200,2.2561068534851074,,
26307,139,1465.347247,200,2.47399640083313,,
26507,140,1495.153862,200,1.421144723892212,,
26707,141,1420.067398,200,5.186705589294434,,
26907,142,1177.411721,200,5.841615200042725,,
27107,143,1329.852809,200,1.9415719509124756,,
27307,144,903.423381,200,2.2500109672546387,,
27507,145,1473.209457,200,2.435184955596924,,
27575,146,345.397263,68,11.739792823791504,,
27775,147,1212.353474,200,2.383538007736206,,
27975,148,1425.032933,200,2.6741912364959717,,
28175,149,1271.880768,200,5.4878716468811035,,
28375,150,1333.945857,200,8.540277481079102,,
28575,151,981.387652,200,4.387509346008301,,
28775,152,1370.901312,200,2.3350820541381836,,
28975,153,1308.704495,200,8.437034606933594,,
29175,154,1594.932381,200,2.612596035003662,,
29375,155,1701.658727,200,4.591311931610107,,
29575,156,1167.390747,200,3.2033462524414062,,
29775,157,1130.185442,200,1.6315505504608154,,
29975,158,1431.700466,200,5.558894634246826,,
30175,159,1159.584228,200,1.6670581102371216,,
30375,160,1281.827049,200,2.7344260215759277,,
30575,161,1566.237921,200,2.78529691696167,,
30775,162,1347.315038,200,12.528748512268066,,
30975,163,1379.245831,200,3.41389536857605,,
31175,164,990.77442,200,1.8460091352462769,,
