run_id,total_timesteps,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
ppo_01,60000,0.0003,256,64,10,0.99,0.95,0.2,0.0,,,,
ppo_02,60000,0.0001,256,64,10,0.99,0.95,0.2,0.0,,,,
ppo_03,60000,0.001,256,64,10,0.99,0.95,0.2,0.0,,,,
ppo_04,60000,0.0003,512,64,10,0.99,0.95,0.2,0.0,,,,
ppo_05,60000,0.0003,256,128,10,0.99,0.95,0.2,0.0,,,,
ppo_06,60000,0.0003,256,64,4,0.99,0.95,0.2,0.0,,,,
ppo_07,60000,0.0003,256,64,20,0.99,0.95,0.2,0.0,,,,
ppo_08,60000,0.0003,256,64,10,0.95,0.95,0.2,0.0,,,,
ppo_09,60000,0.0003,256,64,10,0.99,0.95,0.1,0.0,,,,
ppo_10,60000,0.0003,256,64,10,0.99,0.95,0.2,0.01,,,,
