run_id,total_timesteps,learning_rate,n_steps,gamma,ent_coef,vf_coef,gae_lambda,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
a2c_01,60000,0.0007,5,0.99,0.0,0.5,1.0,,,,
a2c_02,60000,0.0003,5,0.99,0.0,0.5,1.0,,,,
a2c_03,60000,0.001,5,0.99,0.0,0.5,1.0,,,,
a2c_04,60000,0.0007,16,0.99,0.0,0.5,1.0,,,,
a2c_05,60000,0.0007,32,0.99,0.0,0.5,1.0,,,,
a2c_06,60000,0.0007,5,0.95,0.0,0.5,1.0,,,,
a2c_07,60000,0.0007,5,0.999,0.0,0.5,1.0,,,,
a2c_08,60000,0.0007,5,0.99,0.01,0.5,1.0,,,,
a2c_09,60000,0.0007,5,0.99,0.0,0.25,1.0,,,,
a2c_10,60000,0.0007,5,0.99,0.0,0.5,0.9,,,,
