run_id,total_timesteps,learning_rate,buffer_size,batch_size,gamma,exploration_fraction,exploration_final_eps,target_update_interval,train_freq,learning_starts,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
dqn_01,60000,0.001,20000,32,0.99,0.3,0.05,500,4,1000,,,,
dqn_02,60000,0.0005,20000,32,0.99,0.3,0.05,500,4,1000,,,,
dqn_03,60000,0.00025,20000,64,0.99,0.3,0.05,500,4,1000,,,,
dqn_04,60000,0.001,50000,64,0.99,0.3,0.05,500,4,1000,,,,
dqn_05,60000,0.001,20000,32,0.95,0.3,0.05,500,4,1000,,,,
dqn_06,60000,0.001,20000,32,0.999,0.3,0.05,500,4,1000,,,,
dqn_07,60000,0.001,20000,32,0.99,0.1,0.02,500,4,1000,,,,
dqn_08,60000,0.001,20000,32,0.99,0.5,0.1,500,4,1000,,,,
dqn_09,60000,0.001,20000,32,0.99,0.3,0.05,100,4,1000,,,,
dqn_10,60000,0.001,20000,32,0.99,0.3,0.05,2000,4,1000,,,,
