timestep,episode,episode_reward,episode_length,loss,entropy,value_loss
200,1,162.38935,200,,,
400,2,-49.163353,200,114.80394744873047,1.9419395685195924,271.82221565246584
600,3,104.192833,200,31.26115608215332,1.9266716361045837,74.11102466583252
800,4,87.167081,200,74.33043670654297,1.9117159754037858,250.08846588134764
1000,5,24.947628,200,74.33043670654297,1.9117159754037858,250.08846588134764
1200,6,120.754155,200,34.1450309753418,1.8835571348667144,66.49328660964966
1400,7,144.117319,200,95.2281265258789,1.8833453506231308,206.08367195129395
1600,8,105.420695,200,48.694435119628906,1.882804921269417,92.02706594467163
1800,9,97.290513,200,24.418601989746094,1.8211650937795638,65.85336132049561
1860,10,51.918375,60,24.418601989746094,1.8211650937795638,65.85336132049561
2060,11,219.702152,200,116.45662689208984,1.834189885854721,321.42963523864745
2123,12,3.888509,63,116.45662689208984,1.834189885854721,321.42963523864745
2323,13,118.642189,200,74.79459381103516,1.8374984830617904,134.40594539642333
2523,14,326.715133,200,74.79459381103516,1.8374984830617904,134.40594539642333
2723,15,291.029214,200,319.0574645996094,1.8186771601438523,659.5909706115723
2923,16,130.855617,200,226.14483642578125,1.8189215451478957,606.8960205078125
3123,17,210.266403,200,257.2459716796875,1.793069776892662,407.1407894134521
3194,18,11.323245,71,257.2459716796875,1.793069776892662,407.1407894134521
3394,19,199.14482,200,122.55242156982422,1.7662752956151961,353.8210329055786
3594,20,294.005595,200,96.5613021850586,1.6655733853578567,214.6657220840454
3794,21,457.907891,200,96.5613021850586,1.6655733853578567,214.6657220840454
3994,22,177.118554,200,822.4755859375,1.7011602848768235,1667.9510467529296
4194,23,285.636445,200,103.38428497314453,1.7210991650819778,259.5028133392334
4394,24,229.467603,200,190.3609619140625,1.746948355436325,545.965625
4594,25,427.03482,200,190.3609619140625,1.746948355436325,545.965625
4794,26,262.087139,200,339.7930908203125,1.7721548318862914,946.3793640136719
4994,27,190.55863,200,122.25932312011719,1.7428399205207825,298.0954372406006
5194,28,289.062523,200,123.48419189453125,1.7492568016052246,360.97287406921384
5394,29,236.495168,200,161.34774780273438,1.7432737946510315,399.9635711669922
5594,30,275.055827,200,161.34774780273438,1.7432737946510315,399.9635711669922
5794,31,308.864891,200,200.0393524169922,1.7085602223873138,352.43669204711915
5994,32,469.312477,200,214.90538024902344,1.7044559448957444,479.2238597869873
6194,33,526.883262,200,1171.68359375,1.6934938937425614,1916.644479370117
6394,34,226.345548,200,1171.68359375,1.6934938937425614,1916.644479370117
6594,35,327.512478,200,573.8720703125,1.7282948970794678,1269.271221923828
6794,36,298.913816,200,188.50389099121094,1.6888145476579666,445.81394424438474
6994,37,373.254657,200,169.12734985351562,1.6921614736318589,419.72693328857423
7194,38,472.26387,200,532.095947265625,1.6575194358825684,1323.7324340820312
7335,39,234.339926,141,532.095947265625,1.6575194358825684,1323.7324340820312
7535,40,366.248464,200,442.5924987792969,1.7106740415096282,1161.131657409668
7735,41,350.661463,200,268.8891906738281,1.6895036160945893,481.5326301574707
7935,42,522.39109,200,268.8891906738281,1.6895036160945893,481.5326301574707
8135,43,610.420846,200,610.13037109375,1.6819328218698502,971.9442947387695
8335,44,433.666012,200,863.8424072265625,1.701176616549492,1599.7599029541016
8535,45,570.682509,200,320.43560791015625,1.6279542356729508,675.1064888000489
8735,46,724.024134,200,1545.857177734375,1.618163776397705,2765.7028259277345
8935,47,389.032502,200,1545.857177734375,1.618163776397705,2765.7028259277345
9135,48,611.371886,200,897.3492431640625,1.6702988743782043,1286.9382400512695
9335,49,451.804418,200,1772.939208984375,1.6798829764127732,3246.4140289306642
9535,50,426.619141,200,319.47271728515625,1.649834820628166,873.3337036132813
9735,51,602.362128,200,998.65478515625,1.6160105288028717,1379.7858901977538
9935,52,530.319253,200,998.65478515625,1.6160105288028717,1379.7858901977538
10135,53,455.449581,200,636.8946533203125,1.5762763500213623,1268.2237106323241
10335,54,496.013366,200,356.47369384765625,1.5607945561408996,805.9328430175781
10535,55,587.872897,200,563.02099609375,1.5584803700447083,1727.628970336914
