run_id,total_timesteps,learning_rate,n_steps,gamma,ent_coef,vf_coef,gae_lambda,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
a2c_01,60000,0.0007,5,0.99,0.0,0.5,1.0,339,1218.92,2125.17,1501.78
a2c_02,60000,0.0003,5,0.99,0.0,0.5,1.0,348,950.58,1599.29,1186.21
a2c_03,60000,0.001,5,0.99,0.0,0.5,1.0,318,1401.12,2298.86,1650.24
a2c_04,60000,0.0007,16,0.99,0.0,0.5,1.0,319,962.84,1457.16,150.5
a2c_05,60000,0.0007,32,0.99,0.0,0.5,1.0,318,820.13,1129.05,478.92
a2c_06,60000,0.0007,5,0.95,0.0,0.5,1.0,331,1258.99,1920.54,1317.54
a2c_07,60000,0.0007,5,0.999,0.0,0.5,1.0,370,1229.94,1922.63,412.67
a2c_08,60000,0.0007,5,0.99,0.01,0.5,1.0,340,1433.51,2079.83,1556.41
a2c_09,60000,0.0007,5,0.99,0.0,0.25,1.0,323,1223.2,1930.69,1627.85
a2c_10,60000,0.0007,5,0.99,0.0,0.5,0.9,343,1158.28,1896.14,317.08
