run_id,total_timesteps,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
ppo_01,60000,0.0003,256,64,10,0.99,0.95,0.2,0.0,307,1089.56,1429.98,1172.45
ppo_02,60000,0.0001,256,64,10,0.99,0.95,0.2,0.0,312,315.89,637.79,330.53
ppo_03,60000,0.001,256,64,10,0.99,0.95,0.2,0.0,305,1253.3,1822.12,1034.87
ppo_04,60000,0.0003,512,64,10,0.99,0.95,0.2,0.0,308,1006.09,1484.85,977.08
ppo_05,60000,0.0003,256,128,10,0.99,0.95,0.2,0.0,313,529.56,844.35,458.33
ppo_06,60000,0.0003,256,64,4,0.99,0.95,0.2,0.0,314,378.93,688.34,391.74
ppo_07,60000,0.0003,256,64,20,0.99,0.95,0.2,0.0,308,1293.78,1724.1,1178.28
ppo_08,60000,0.0003,256,64,10,0.95,0.95,0.2,0.0,312,1230.85,1609.23,1348.52
ppo_09,60000,0.0003,256,64,10,0.99,0.95,0.1,0.0,311,767.69,1184.84,729.64
ppo_10,60000,0.0003,256,64,10,0.99,0.95,0.2,0.01,307,885.93,1417.64,877.98
